Date,Sales,Salesimp,Staunton Jams,Salesadj
5/2/2009,930.98,930.98,0,930.98
5/3/2009,331.24,331.24,0,331.24
5/4/2009,243.94,243.94,0,243.94
5/5/2009,185.72,185.72,0,185.72
5/6/2009,464.43,464.43,0,464.43
5/7/2009,569.92,569.92,0,569.92
5/8/2009,988.14,988.14,0,988.14
5/9/2009,1270.81,1270.81,0,1270.81
5/10/2009,976.99,976.99,0,976.99
5/11/2009,398.2,398.2,0,398.2
5/12/2009,607.15,607.15,0,607.15
5/13/2009,444,444,0,444
5/14/2009,591.83,591.83,0,591.83
5/15/2009,870.04,870.04,0,870.04
5/16/2009,1348.24,1348.24,1,348.24
5/17/2009,338.86,338.86,0,338.86
5/18/2009,307.77,307.77,0,307.77
5/19/2009,513.34,513.34,0,513.34
5/20/2009,597.49,597.49,0,597.49
5/21/2009,641.74,641.74,0,641.74
5/22/2009,1035.91,1035.91,0,1035.91
5/23/2009,1537.87,1537.87,0,1537.87
5/24/2009,1151.62,1151.62,0,1151.62
5/25/2009,602.38,602.38,0,602.38
5/26/2009,,513.11,0,513.11
5/27/2009,445.94,445.94,0,445.94
5/28/2009,336.6,336.6,0,336.6
5/29/2009,767.47,767.47,0,767.47
5/30/2009,1030.19,1030.19,0,1030.19
5/31/2009,883.66,883.66,0,883.66
6/1/2009,443.91,443.91,0,443.91
6/2/2009,746.23,746.23,0,746.23
6/3/2009,578.51,578.51,0,578.51
6/4/2009,520.27,520.27,0,520.27
6/5/2009,689.88,689.88,0,689.88
6/6/2009,915.59,915.59,0,915.59
6/7/2009,754.16,754.16,0,754.16
6/8/2009,430.3,430.3,0,430.3
6/9/2009,456.55,456.55,0,456.55
6/10/2009,560.95,560.95,0,560.95
6/11/2009,562.24,562.24,0,562.24
6/12/2009,530.62,530.62,0,530.62
6/13/2009,1094.89,1094.89,0,1094.89
6/14/2009,857.9,857.9,0,857.9
6/15/2009,594.23,594.23,0,594.23
6/16/2009,434.56,434.56,0,434.56
6/17/2009,368.95,368.95,0,368.95
6/18/2009,709.96,709.96,0,709.96
6/19/2009,1031.4,1031.4,0,1031.4
6/20/2009,1151.94,1151.94,0,1151.94
6/21/2009,1013.31,1013.31,0,1013.31
6/22/2009,758.41,758.41,0,758.41
6/23/2009,686.36,686.36,0,686.36
6/24/2009,898.31,898.31,0,898.31
6/25/2009,676.24,676.24,0,676.24
6/26/2009,965.97,965.97,0,965.97
6/27/2009,1196.44,1196.44,0,1196.44
6/28/2009,696.85,696.85,0,696.85
6/29/2009,502.53,502.53,0,502.53
6/30/2009,556.42,556.42,0,556.42
7/1/2009,602.51,602.51,0,602.51
7/2/2009,741.85,741.85,0,741.85
7/3/2009,1304.36,1304.36,0,1304.36
7/4/2009,1085.07,1085.07,0,1085.07
7/5/2009,324.72,324.72,0,324.72
7/6/2009,646.82,646.82,0,646.82
7/7/2009,611.72,611.72,0,611.72
7/8/2009,565.56,565.56,0,565.56
7/9/2009,707.14,707.14,0,707.14
7/10/2009,1002.82,1002.82,0,1002.82
7/11/2009,1205.99,1205.99,0,1205.99
7/12/2009,978.56,978.56,0,978.56
7/13/2009,457.98,457.98,0,457.98
7/14/2009,588.16,588.16,0,588.16
7/15/2009,673.93,673.93,0,673.93
7/16/2009,723.89,723.89,0,723.89
7/17/2009,809.92,809.92,0,809.92
7/18/2009,1300.29,1300.29,0,1300.29
7/19/2009,813.12,813.12,0,813.12
7/20/2009,459.14,459.14,0,459.14
7/21/2009,707.5,707.5,0,707.5
7/22/2009,663.38,663.38,0,663.38
7/23/2009,787.5,787.5,0,787.5
7/24/2009,1038.95,1038.95,0,1038.95
7/25/2009,1143.78,1143.78,0,1143.78
7/26/2009,922.84,922.84,0,922.84
7/27/2009,561.42,561.42,0,561.42
7/28/2009,812.78,812.78,0,812.78
7/29/2009,558.88,558.88,0,558.88
7/30/2009,702.83,702.83,0,702.83
7/31/2009,825.99,825.99,0,825.99
8/1/2009,1322.31,1322.31,0,1322.31
8/2/2009,730.7,730.7,0,730.7
8/3/2009,583.92,583.92,0,583.92
8/4/2009,534.26,534.26,0,534.26
8/5/2009,624.79,624.79,0,624.79
8/6/2009,780.66,780.66,0,780.66
8/7/2009,872.95,872.95,0,872.95
8/8/2009,1183.12,1183.12,0,1183.12
8/9/2009,963.44,963.44,0,963.44
8/10/2009,675.06,675.06,0,675.06
8/11/2009,685.41,685.41,0,685.41
8/12/2009,677.83,677.83,0,677.83
8/13/2009,903.07,903.07,0,903.07
8/14/2009,787.85,787.85,0,787.85
8/15/2009,1159.59,1159.59,0,1159.59
8/16/2009,673.81,673.81,0,673.81
8/17/2009,515.43,515.43,0,515.43
8/18/2009,569.71,569.71,0,569.71
8/19/2009,424.33,424.33,0,424.33
8/20/2009,580.98,580.98,0,580.98
8/21/2009,947.24,947.24,0,947.24
8/22/2009,810.73,810.73,0,810.73
8/23/2009,668.45,668.45,0,668.45
8/24/2009,699.97,699.97,0,699.97
8/25/2009,466.7,466.7,0,466.7
8/26/2009,505.84,505.84,0,505.84
8/27/2009,437.01,437.01,0,437.01
8/28/2009,825.54,825.54,0,825.54
8/29/2009,1167.19,1167.19,0,1167.19
8/30/2009,657.12,657.12,0,657.12
8/31/2009,452.05,452.05,0,452.05
9/1/2009,322.91,322.91,0,322.91
9/2/2009,681.83,681.83,0,681.83
9/3/2009,398.72,398.72,0,398.72
9/4/2009,1024.21,1024.21,0,1024.21
9/5/2009,2185.33,2185.33,1,1185.33
9/6/2009,771.93,771.93,0,771.93
9/7/2009,696.14,696.14,0,696.14
9/8/2009,281.51,281.51,0,281.51
9/9/2009,323.19,323.19,0,323.19
9/10/2009,288.4,288.4,0,288.4
9/11/2009,804.19,804.19,0,804.19
9/12/2009,952.77,952.77,0,952.77
9/13/2009,581.66,581.66,0,581.66
9/14/2009,352.59,352.59,0,352.59
9/15/2009,465.26,465.26,0,465.26
9/16/2009,383.17,383.17,0,383.17
9/17/2009,369.31,369.31,0,369.31
9/18/2009,920.2,920.2,0,920.2
9/19/2009,794.39,794.39,0,794.39
9/20/2009,463.24,463.24,0,463.24
9/21/2009,339.89,339.89,0,339.89
9/22/2009,330.17,330.17,0,330.17
9/23/2009,394.25,394.25,0,394.25
9/24/2009,443.99,443.99,0,443.99
9/25/2009,429.21,429.21,0,429.21
9/26/2009,338.14,338.14,0,338.14
9/27/2009,564.21,564.21,0,564.21
9/28/2009,304.61,304.61,0,304.61
9/29/2009,277.92,277.92,0,277.92
9/30/2009,254.66,254.66,0,254.66
10/1/2009,258.53,258.53,0,258.53
10/2/2009,731.72,731.72,0,731.72
10/3/2009,782.55,782.55,0,782.55
10/4/2009,472.98,472.98,0,472.98
10/5/2009,319,319,0,319
10/6/2009,273.74,273.74,0,273.74
10/7/2009,450.91,450.91,0,450.91
10/8/2009,368.31,368.31,0,368.31
10/9/2009,1065.33,1065.33,0,1065.33
10/10/2009,877.12,877.12,0,877.12
10/11/2009,724.15,724.15,0,724.15
10/12/2009,327.63,327.63,0,327.63
10/13/2009,223.33,223.33,0,223.33
10/14/2009,142.1,142.1,0,142.1
10/15/2009,180.13,180.13,0,180.13
10/16/2009,512.97,512.97,0,512.97
10/17/2009,580.53,580.53,0,580.53
10/18/2009,342.42,342.42,0,342.42
10/19/2009,200.39,200.39,0,200.39
10/20/2009,320.97,320.97,0,320.97
10/21/2009,351.12,351.12,0,351.12
10/22/2009,421.37,421.37,0,421.37
10/23/2009,548.37,548.37,0,548.37
10/24/2009,1038.21,1038.21,0,1038.21
10/25/2009,617.3,617.3,0,617.3
10/26/2009,237.78,237.78,0,237.78
10/27/2009,220.48,220.48,0,220.48
10/28/2009,298.47,298.47,0,298.47
10/29/2009,341.28,341.28,0,341.28
10/30/2009,630.61,630.61,0,630.61
10/31/2009,569.99,569.99,0,569.99
11/1/2009,309.94,309.94,0,309.94
11/2/2009,152.29,152.29,0,152.29
11/3/2009,289.46,289.46,0,289.46
11/4/2009,265.75,265.75,0,265.75
11/5/2009,490.01,490.01,0,490.01
11/6/2009,562.33,562.33,0,562.33
11/7/2009,708.84,708.84,0,708.84
11/8/2009,461.24,461.24,0,461.24
11/9/2009,202.35,202.35,0,202.35
11/10/2009,228.56,228.56,0,228.56
11/11/2009,92.36,92.36,0,92.36
11/12/2009,190.87,190.87,0,190.87
11/13/2009,449.74,449.74,0,449.74
11/14/2009,951.56,951.56,0,951.56
11/15/2009,536.85,536.85,0,536.85
11/16/2009,300.57,300.57,0,300.57
11/17/2009,200.06,200.06,0,200.06
11/18/2009,226.82,226.82,0,226.82
11/19/2009,417.26,417.26,0,417.26
11/20/2009,745.91,745.91,0,745.91
11/21/2009,615.11,615.11,0,615.11
11/22/2009,259.22,259.22,0,259.22
11/23/2009,234.64,234.64,0,234.64
11/24/2009,241.46,241.46,0,241.46
11/25/2009,409.25,409.25,0,409.25
11/26/2009,,333.55,0,333.55
